ptid;enid;name;fullname
KOMMUNENUMMER;;0901;
KOMMUNENUMMER;;0903;
KOMMUNENUMMER;;0904;
KOMMUNENUMMER;;0906;
KOMMUNENUMMER;;0911;
KOMMUNENUMMER;;0912;
KOMMUNENUMMER;;0914;
KOMMUNENUMMER;;0918;
KOMMUNENUMMER;;0919;
KOMMUNENUMMER;;0920;
KOMMUNENUMMER;;0921;
KOMMUNENUMMER;;0922;
KOMMUNENUMMER;;0926;
KOMMUNENUMMER;;0928;
KOMMUNENUMMER;;0929;
KOMMUNENUMMER;;0935;
KOMMUNENUMMER;;0937;
KOMMUNENUMMER;;0938;
KOMMUNENUMMER;;0940;
KOMMUNENUMMER;;0941;
KOMMUNENUMMER;;1001;
KOMMUNENUMMER;;1002;
KOMMUNENUMMER;;1003;
KOMMUNENUMMER;;1004;
KOMMUNENUMMER;;1014;
KOMMUNENUMMER;;1017;
KOMMUNENUMMER;;1018;
KOMMUNENUMMER;;1021;
KOMMUNENUMMER;;1026;
KOMMUNENUMMER;;1027;
KOMMUNENUMMER;;1029;
KOMMUNENUMMER;;1032;
KOMMUNENUMMER;;1034;
KOMMUNENUMMER;;1037;
KOMMUNENUMMER;;1046;
KOMMUNENUMMER;;1101;
KOMMUNENUMMER;;1102;
KOMMUNENUMMER;;1103;
KOMMUNENUMMER;;1106;
KOMMUNENUMMER;;1111;
KOMMUNENUMMER;;1112;
KOMMUNENUMMER;;1114;
KOMMUNENUMMER;;1119;
KOMMUNENUMMER;;1120;
KOMMUNENUMMER;;1121;
KOMMUNENUMMER;;1122;
KOMMUNENUMMER;;1124;
KOMMUNENUMMER;;1127;
KOMMUNENUMMER;;1129;
KOMMUNENUMMER;;1130;
KOMMUNENUMMER;;1133;
KOMMUNENUMMER;;1134;
KOMMUNENUMMER;;1135;
KOMMUNENUMMER;;1141;
KOMMUNENUMMER;;1142;
KOMMUNENUMMER;;1144;
KOMMUNENUMMER;;1145;
KOMMUNENUMMER;;1146;
KOMMUNENUMMER;;1149;
KOMMUNENUMMER;;1151;
KOMMUNENUMMER;;1154;
KOMMUNENUMMER;;1159;
KOMMUNENUMMER;;1160;
KOMMUNENUMMER;;1201;
KOMMUNENUMMER;;1211;
KOMMUNENUMMER;;1214;
KOMMUNENUMMER;;1216;
KOMMUNENUMMER;;1219;
KOMMUNENUMMER;;1221;
KOMMUNENUMMER;;1222;
KOMMUNENUMMER;;1223;
KOMMUNENUMMER;;1224;
KOMMUNENUMMER;;1227;
KOMMUNENUMMER;;1228;
KOMMUNENUMMER;;1231;
KOMMUNENUMMER;;1232;
KOMMUNENUMMER;;1233;
KOMMUNENUMMER;;1234;
KOMMUNENUMMER;;1235;
KOMMUNENUMMER;;1238;
KOMMUNENUMMER;;1241;
KOMMUNENUMMER;;1242;
KOMMUNENUMMER;;1243;
KOMMUNENUMMER;;1244;
KOMMUNENUMMER;;1245;
KOMMUNENUMMER;;1246;
KOMMUNENUMMER;;1247;
KOMMUNENUMMER;;1251;
KOMMUNENUMMER;;1252;
